step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy
274,381732,548,0.014447978697867256,1.0,1.0
275,383030,550,0.008536958794663266,1.0,1.0
276,383944,552,0.015520605931655768,0.5,0.9975669099756691
277,385674,554,0.008335422431888385,1.0,1.0
278,386828,556,0.010269319436442813,1.0,1.0
279,388110,558,0.009863814086943808,0.5,0.998109640831758
280,389808,560,0.01075373852784697,0.5,0.9987146529562982
281,391682,562,0.006834533091528586,1.0,1.0
282,392180,564,0.015054397763361564,1.0,1.0
283,393254,566,0.009056044676967257,1.0,1.0
284,394360,568,0.008881553101175539,1.0,1.0
285,395738,570,0.006776849288493996,1.0,1.0
286,397148,572,0.006053761306451148,1.0,1.0
287,398926,574,0.0072728880255048586,1.0,1.0
288,400304,576,0.009427083541714992,1.0,1.0
289,401826,578,0.01718115405083035,0.0,0.9973614775725593
290,404052,580,0.003860660396970185,1.0,1.0
291,405302,582,0.01205990588483427,0.5,0.9982363315696648
292,407144,584,0.005740971351726108,1.0,1.0
293,407898,586,0.010796779090597834,1.0,1.0
294,409260,588,0.010224562953674033,1.0,1.0
295,410766,590,0.006147665687576291,1.0,1.0
296,412144,592,0.007651385024878937,1.0,1.0
297,413458,594,0.00815981110751848,0.5,0.9976580796252927
298,414756,596,0.007411861985525695,1.0,1.0
299,416278,598,0.00491018818598636,1.0,1.0
300,418104,600,0.01861054560534454,0.0,0.9969135802469136
301,419578,602,0.006143599320538861,1.0,1.0
302,421404,604,0.011452722195608474,0.5,0.9982668977469671
303,423310,606,0.006402329475691403,1.0,1.0
304,424512,608,0.008836170601840424,1.0,1.0
305,425746,610,0.006370656938903154,1.0,1.0
306,427060,612,0.019295868081793538,0.0,0.9966777408637874
307,428630,614,0.007868282706648178,1.0,1.0
308,429896,616,0.007336060487595764,1.0,1.0
309,432282,618,0.004391456329468314,1.0,1.0
310,433228,620,0.007669413879634809,1.0,1.0
311,433998,622,0.011559991409481255,1.0,1.0
312,434896,624,0.013730569287833842,1.0,1.0
313,436722,626,0.0053183266346543785,1.0,1.0
314,438420,628,0.006200441110148062,0.5,0.9985835694050992
315,439254,630,0.011193799924709468,1.0,1.0
316,440472,632,0.008172975072191028,1.0,1.0
317,441818,634,0.005668235202580207,1.0,1.0
318,442764,636,0.010520805926986735,1.0,1.0
319,443230,638,0.011517102933141414,1.0,1.0
320,444592,640,0.005626848700899463,1.0,1.0
321,446034,642,0.010035173854770006,0.5,0.998567335243553
322,448132,644,0.006929535779222072,1.0,1.0
323,449302,646,0.00692886558673396,1.0,1.0
324,450520,648,0.009092460711289174,1.0,1.0
325,451306,650,0.010053556077964241,1.0,1.0
326,453244,652,0.004853592291752312,1.0,1.0
327,454110,654,0.012012532438888153,1.0,1.0
328,455104,656,0.006681430479710652,1.0,1.0
329,457090,658,0.007639321270233664,1.0,1.0
330,458932,660,0.006400163105863373,1.0,1.0
331,459830,662,0.009742836333419222,1.0,1.0
332,461928,664,0.005983177538731304,1.0,1.0
333,463626,666,0.005544559913446181,1.0,1.0
334,464828,668,0.007992162217718368,1.0,1.0
335,466302,670,0.0054765735845763224,1.0,1.0
336,467408,672,0.010204232729233037,1.0,1.0
337,468594,674,0.006530677610016132,1.0,1.0
338,469892,676,0.009709687889096881,1.0,1.0
339,471174,678,0.006475801256973163,1.0,1.0
340,472776,680,0.00806081888625029,1.0,1.0
341,473546,682,0.009174090890938319,1.0,1.0
342,474732,684,0.007114097306458569,1.0,1.0
343,476286,686,0.005493654220228241,1.0,1.0
344,477744,688,0.00788614552466625,1.0,1.0
345,479906,690,0.007338749416131813,1.0,1.0
346,481332,692,0.00942462968397614,1.0,1.0
347,483062,694,0.007645160865582232,1.0,1.0
348,484216,696,0.008875043087201289,1.0,1.0
349,486138,698,0.006906126662394898,1.0,1.0
350,487628,700,0.0073993625817266396,1.0,1.0
351,488718,702,0.010890287278649217,1.0,1.0
